epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,6354.22,0.63615,0.33992,0.85042,0.86437,0.63511,0.6413,0.4428,0.88551,0.39197,0.95687,0.00101099,0.00101099,0.00101099
161,6393.37,0.59562,0.31943,0.84835,0.96868,0.63208,0.65982,0.44801,0.8791,0.38249,0.94189,0.00100687,0.00100687,0.00100687
162,6432.42,0.59791,0.32352,0.84794,0.98415,0.66779,0.67685,0.47665,0.87507,0.37793,0.94655,0.00100274,0.00100274,0.00100274
163,6471.55,0.59398,0.32466,0.84575,0.98028,0.62954,0.66337,0.47038,0.86771,0.3768,0.95153,0.000998616,0.000998616,0.000998616
164,6510.63,0.59308,0.31831,0.8469,0.87273,0.63612,0.62945,0.43478,0.89085,0.37833,0.95129,0.000994491,0.000994491,0.000994491
165,6550.03,0.59421,0.3227,0.84801,0.9423,0.59367,0.61621,0.44583,0.89265,0.37573,0.95321,0.000990365,0.000990365,0.000990365
166,6592.47,0.56624,0.31118,0.83575,0.94421,0.59831,0.62061,0.4644,0.87638,0.36903,0.9456,0.000986239,0.000986239,0.000986239
167,6631.65,0.57967,0.313,0.8425,0.97202,0.63164,0.66282,0.47671,0.88822,0.37152,0.95412,0.000982113,0.000982113,0.000982113
168,6670.87,0.58857,0.31954,0.84258,0.78609,0.59636,0.60417,0.45214,0.89337,0.38662,0.95665,0.000977987,0.000977987,0.000977987
169,6709.97,0.58425,0.31625,0.83915,0.97047,0.63208,0.65376,0.45845,0.89223,0.38576,0.95489,0.000973861,0.000973861,0.000973861
170,6749.09,0.58617,0.31513,0.84627,0.97881,0.63208,0.6456,0.46189,0.87513,0.38259,0.94646,0.000969736,0.000969736,0.000969736
171,6788.53,0.57481,0.3158,0.84031,0.97026,0.63208,0.64007,0.44376,0.87898,0.37551,0.94956,0.00096561,0.00096561,0.00096561
172,6827.78,0.58634,0.31661,0.84239,0.88697,0.63208,0.63552,0.45868,0.89541,0.39394,0.96024,0.000961484,0.000961484,0.000961484
173,6867.15,0.59888,0.32371,0.84159,0.86823,0.63477,0.64929,0.44786,0.89249,0.382,0.94966,0.000957358,0.000957358,0.000957358
174,6909.08,0.58943,0.31873,0.83904,0.87858,0.63486,0.65126,0.4706,0.8749,0.38068,0.94215,0.000953232,0.000953232,0.000953232
175,6948.07,0.59896,0.31794,0.84609,0.78973,0.59636,0.60467,0.43607,0.90494,0.37437,0.94945,0.000949106,0.000949106,0.000949106
176,6986.98,0.63158,0.3255,0.84729,0.87229,0.63342,0.63119,0.42073,0.91923,0.38007,0.96158,0.000944981,0.000944981,0.000944981
